facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"DaVita El Dorado Dialysis",552801,-,"2977 REDONDO AVENUE","LONG BEACH",CA,90806,18,25.08%,58.26%,2,94.96%,0.81%,0.853,10,72.34%,78.12%,89.70%,74.63%,85.28%,81.27%,10,0.614,0.629,7,0.832,10,2,64,0.00%
"DaVita Elizabeth City Dialysis",342515,-,"1840 WEST CITY DR","ELIZABETH CITY",NC,27909,6,10.17%,57.15%,5,99.56%,1.19%,0.349,10,59.71%,57.39%,78.13%,64.58%,69.24%,75.33%,5,0.951,0.764,5,0.956,10,9,62,0.00%
"DaVita Elizabeth Dialysis",392710,-,"201 MCKEESPORT ROAD",Elizabeth,PA,15037,4,7.98%,68.73%,8,98.40%,0.76%,1.342,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.764,0,3,1.105,10,8,68,0.00%
"DaVita Elizabethtown Dialysis",392604,-,"844 NORTH HANOVER STREET",Elizabethtown,PA,17022,4,7.86%,86.41%,9,98.60%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.788,0.494,6,0.867,10,9,84,0.00%
"DaVita Elk City Dialysis Center",372531,-,"1601 W 2ND ST","ELK CITY",OK,73644,13,3.09%,90.24%,10,97.21%,0.87%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.856,0.262,10,0.649,10,9,87,0.00%
"DaVita Elk Grove Dialysis",552529,-,"9281 OFFICE PARK CIRCLE #105","ELK GROVE",CA,95758,17,5.68%,61.27%,7,98.51%,1.88%,0.625,10,73.17%,70.30%,87.21%,64.93%,68.71%,80.73%,9,0.648,1.044,10,0.575,10,4,75,0.00%
"DaVita Elkhart",152664,-,"1401 N MICHIGAN ST",ELKHART,IN,46514,9,15.16%,72.75%,6,98.78%,1.59%,0.846,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.787,1.702,5,0.98,10,3,57,0.00%
"DaVita Ellensburg Dialysis Center",502552,-,"2101 W DOLAR WAY RD STE 1",ELLENSBURG,WA,98926,16,8.24%,63.22%,7,98.71%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.66,0.483,10,0.645,10,10,91,0.00%
"DaVita Ellicott City Dialysis",212560,-,"3419 PLUM TREE DRIVE - SUITES 103-106","ELLICOTT CITY",MD,21042,5,11.68%,63.28%,5,97.81%,0.77%,0.267,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.25,1.148,2,1.136,10,3,49,0.50%
"DaVita Ellicott Kidney Dialysis",212685,-,"3000 N RIDGE RD - SUITE A","ELLICOTT CITY",MD,21043,5,26.23%,50.62%,1,97.83%,0.32%,0.278,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.2,1.033,4,1.028,10,6,50,0.50%
"DaVita Ellijay Dialysis",112709,-,"449 INDUSTRIAL BLVD #240",ELLIJAY,GA,30540,6,8.51%,77.62%,9,98.22%,0.76%,0.583,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.024,0.906,2,1.151,10,8,62,0.00%
"DaVita Ellijay HT at Home",112872,-,"449 INDUSTRIAL BOULEVARD",ELLIJAY,GA,30540,6,"No Rate","No Rate","No Score","No Rate",3.98%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.672,"No Rate",4,1.046,10,"No Score",43,1.00%
"DaVita Ellwood City Dialysis",392855,-,"807 LAWRENCE AVENUE","Ellwood City",PA,16117,4,"No Rate","No Rate","No Score","No Rate","No Rate",0.55,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"DaVita El Milagro Dialysis Unit",452727,-,"2800 S IH 35 SUITE 120",AUSTIN,TX,78704,14,6.99%,70.06%,9,97.47%,0.84%,0.962,10,83.48%,64.47%,80.15%,77.74%,60.79%,68.75%,4,0.998,0.399,2,1.172,10,0,57,0.00%
"DaVita El Paso Peritoneal Dialysis",672768,-,"1310 MURCHINSON DRIVE - SUITE C","EL PASO",TX,79902,14,"No Rate","No Rate","No Score",96.77%,1.21%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.349,0.516,4,1.027,10,"No Score",68,0.00%
"DaVita El Sobrante Dialysis",552779,-,"3380 SAN PABLO DAM RD STE. C-D","SAN PABLO",CA,94803,17,9.68%,51.59%,4,97.12%,1.42%,0.625,10,66.49%,68.49%,83.43%,68.45%,75.87%,81.83%,6,0.878,1.489,0,1.746,10,0,46,0.50%
"DaVita Embassy Lakes Artificial Kidney Center",102817,-,"11011 SHERIDAN ST - SUITE 308","COOPER CITY",FL,33026,7,12.83%,59.61%,5,98.38%,0.40%,0.395,10,68.67%,55.79%,74.83%,62.86%,60.94%,69.69%,2,1.252,0.162,10,0.666,10,5,66,0.00%
"DaVita Emerald Coast Dialysis",682650,-,"1112 HOSPITAL RD","FORT WALTON BEACH",FL,32547,7,7.39%,66.53%,7,99.47%,0.00%,2.472,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.059,0.292,1,1.186,10,9,58,0.00%
"DaVita Emerald Dialysis",142529,-,"710 WEST 43RD STREET",CHICAGO,IL,60609,10,11.55%,60.97%,5,98.17%,1.72%,1.288,10,50.44%,56.29%,71.90%,21.80%,42.07%,38.62%,10,0.541,0.91,2,1.123,10,0,48,0.50%
"DaVita Emporia at Home Dialysis",172561,-,"1616 INDUSTRIAL ROAD STE 2004",EMPORIA,KS,66801,12,14.55%,72.12%,6,93.55%,0.00%,0.723,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.794,0.311,8,0.798,10,4,67,0.00%
"DaVita Encinitas Dialysis",052756,-,"332 SANTA FE DRIVE, SUITE 100",Encinitas,CA,92024,18,4.79%,76.81%,10,97.91%,0.00%,0.286,10,69.18%,64.68%,87.28%,71.38%,76.96%,75.66%,3,1.062,2.298,0,1.319,10,5,57,0.00%
"DaVita Englewood Dialysis Center",062531,-,"3247 S LINCOLN ST",ENGLEWOOD,CO,80110,15,3.15%,80.70%,10,97.24%,0.98%,1.914,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.654,0,3,1.07,10,4,67,0.00%
"DaVita Ensley Dialysis",012585,-,"2630 AVENUE E",BIRMINGHAM,AL,35218,8,9.64%,35.26%,4,99.69%,0.41%,1.045,10,55.83%,64.46%,76.80%,42.82%,52.94%,66.46%,6,0.845,0.478,6,0.913,10,8,62,0.00%
"DaVita Enterprise Dialysis",012642,-,"6002 BOLL WEEVIL CIRCLE",ENTERPRISE,AL,36330,8,3.17%,71.31%,9,99.24%,0.51%,0.592,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.146,0.686,8,0.744,10,7,73,0.00%
"DaVita Erie Dialysis",392543,-,"350 EAST BAYFRONT PARKWAY, SUITE A",Erie,PA,16507,4,11.39%,71.73%,7,98.18%,0.15%,0.779,10,58.34%,66.47%,83.44%,46.22%,73.56%,75.08%,5,0.949,0.932,4,1.014,10,2,57,0.00%
"DaVita Escondido Dialysis",052525,-,"203 E. SECOND AVENUE",Escondido,CA,92025,18,2.95%,76.93%,10,98.47%,0.90%,0.978,10,76.35%,73.76%,85.78%,71.66%,77.56%,79.98%,6,0.854,1.508,5,0.985,10,3,66,0.00%
"DaVita Essen Lane Dialysis",192716,-,"7703 PICARDY AVE","BATON ROUGE",LA,70808,13,3.06%,58.76%,7,92.56%,2.55%,0.547,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,1.017,1.613,6,0.888,10,0,48,0.50%
"DaVita Estrella Dialysis Center",032612,-,"8410 W THOMAS RD STE 100 BLDG 1",PHOENIX,AZ,85037,15,10.84%,75.52%,8,98.59%,0.31%,1.122,10,61.18%,60.00%,84.05%,55.09%,74.12%,79.58%,2,1.148,0.737,5,0.984,10,7,58,0.00%
"DaVita Etowah Dialysis",442715,-,"109 GRADY RD",ETOWAH,TN,37331,8,5.45%,86.64%,10,100.00%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.953,0.787,6,0.917,10,10,82,0.00%
"DaVita Eufaula Dialysis",012609,-,"220 SOUTH ORANGE AVE",EUFAULA,AL,36027,8,3.47%,74.16%,10,99.27%,1.45%,1.761,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.918,0.775,10,0.633,10,8,72,0.00%
"DaVita Eureka Dialysis Center",262628,-,"419 MERAMEC BLVD",EUREKA,MO,63025,12,13.90%,60.55%,4,97.95%,0.00%,1.077,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.509,0.501,0,1.699,10,8,47,0.50%
"DAVITA - EVANSTON RENAL CENTER",142511,-,"1922 DEMPSTER STREET",EVANSTON,IL,60202,10,16.55%,69.75%,5,99.05%,0.61%,0.605,10,69.43%,70.24%,82.97%,60.30%,66.55%,75.04%,3,1.058,1.072,5,0.975,10,6,57,0.00%
"DaVita Everett Dialysis Center",502560,-,"8130 EVERGREEN WAY STE C",EVERETT,WA,98203,16,8.00%,72.74%,9,96.33%,0.09%,0.593,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.745,0.906,2,1.139,10,0,61,0.00%
"DaVita Excelsior Springs Dialysis",262662,-,"1745 W JESSE JAMES RD","EXCELSIOR SPRINGS",MO,64024,12,5.53%,67.69%,8,97.53%,3.03%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.961,0.735,10,0.577,10,3,73,0.00%
"DaVita Exeter Dialysis",552594,-,"1116 W. VISALIA ROAD, SUITE 106",Exeter,CA,93221,18,12.66%,68.12%,6,98.28%,0.60%,0.335,10,70.45%,61.54%,87.47%,65.45%,60.25%,63.59%,6,0.863,0.357,7,0.828,10,4,69,0.00%
"DaVita Eynon Dialysis",392836,-,"260 SCRANTON CARBONDALE HIGHWAY",Eynon,PA,18403,4,24.94%,67.66%,4,99.73%,0.00%,1.103,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.014,0.425,4,0.994,10,9,62,0.00%
"DaVita Faber Place Dialysis",422598,-,"3801 FABER PLACE DRIVE",CHARLESTON,SC,29405,6,11.15%,59.90%,5,99.34%,0.00%,0.629,10,44.69%,58.96%,80.54%,31.97%,49.29%,53.13%,10,0.599,0,9,0.683,10,8,76,0.00%
"DaVita Fairborn Dialysis",362683,-,"3070 PRESIDENTIAL DRIVE, SUITE 120",FAIRBORN,OH,45324,9,9.90%,79.93%,9,99.62%,1.03%,1.518,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.744,0.257,6,0.893,10,4,71,0.00%
"DaVita Fairburn Palmetto Dialysis",852567,-,"501 WALNUT WAY",Palmetto,GA,30268,6,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"DaVita Fairfax Dialysis Center",492591,-,"8501 ARLINGTON BOULEVARD - STE 100",FAIRFAX,VA,22031,5,8.87%,76.92%,9,98.49%,1.60%,1.434,10,61.76%,57.27%,81.55%,60.85%,64.10%,75.55%,4,1.044,1.335,3,1.098,10,5,50,0.50%
"DaVita Fairfield Dialysis",362602,-,"1210 HICKS BLVD",FAIRFIELD,OH,45014,9,13.64%,50.90%,2,99.42%,0.00%,0.906,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.279,0.466,2,1.153,10,6,50,0.50%
"DaVita Fairfield Dialysis Center",052618,-,"4660 CENTRAL WAY",FAIRFIELD,CA,94534,17,13.35%,67.54%,6,94.50%,1.06%,0.679,10,79.08%,71.85%,85.96%,81.49%,65.51%,71.29%,6,0.874,0.962,4,1.034,10,0,55,0.50%
"DaVita Fairfield Downtown Dialysis",552763,-,"1800 NORTH TEXAS STREET",FAIRFIELD,CA,94533,17,7.02%,75.96%,9,98.67%,1.88%,0.422,10,86.16%,67.61%,80.22%,86.97%,72.29%,82.90%,0,1.316,0.607,9,0.671,10,0,66,0.00%
"DaVita Fairfield Home Training Dialysis",362608,-,"1210 HICKS BLVD",FAIRFIELD,OH,45014,9,"No Rate","No Rate","No Score",99.28%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.743,"No Rate",6,1.13,10,"No Score",89,0.00%
"DaVita Fair lawn Dialysis",312616,-,"18-01 POLLITT DRIVE","FAIR LAWN",NJ,07410,3,9.30%,78.17%,9,99.63%,0.12%,0.941,10,66.97%,62.55%,88.42%,68.37%,61.32%,70.00%,5,0.94,3.722,7,0.803,10,10,66,0.00%
"DaVita Fairmount Dialysis",392873,-,"1236 N. 26TH STREET",Philadelphia,PA,19121,4,6.45%,51.01%,6,97.64%,0.00%,0.696,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.373,"No Rate",7,0.849,10,9,78,0.00%
"DaVita Fair Oaks Dialysis",492626,-,"3955 PENDER DR",FAIRFAX,VA,22030,5,10.06%,77.30%,8,98.69%,0.14%,0,10,65.56%,68.78%,80.50%,50.57%,64.92%,67.01%,4,1.054,0.132,9,0.683,10,5,76,0.00%
"DaVita Falkenburg Dialysis",682630,-,"3140 S FALKENBURG ROAD - SUITE 101",RIVERVIEW,FL,33578,7,18.43%,61.41%,3,96.24%,2.29%,0.441,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.058,0.689,4,1.018,10,0,48,0.50%
"DaVita Fall Creek",152694,-,"3820 N COLLEGE AVENUE",INDIANAPOLIS,IN,46205,9,21.10%,59.30%,2,98.98%,0.52%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0,"No Rate",10,0.542,10,8,79,0.00%
"DaVita Fallen Timbers Dialysis",362855,-,"4330 KEYSTONE DRIVE",MAUMEE,OH,43537,9,12.66%,65.49%,6,98.79%,0.00%,0.609,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.846,"No Rate",6,0.864,10,9,77,0.00%
"DaVita Fallon Dialysis",292528,-,"1103 NEW RIVER PKWY",FALLON,NV,89406,15,11.24%,74.25%,8,97.89%,2.26%,0.318,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.541,1.32,9,0.684,10,0,73,0.00%
"DaVita Falls Road Dialysis",212588,-,"1423 CLARKVIEW ROAD - STE 500",BALTIMORE,MD,21209,5,3.01%,80.06%,10,99.04%,0.32%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.879,0.579,9,0.7,10,6,84,0.00%
"DaVita Fargo Dialysis Center",352502,-,"4474 23RD AVE S - SUITE M",FARGO,ND,58104,11,3.72%,78.21%,10,98.07%,0.00%,1.122,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.944,0,9,0.721,10,7,80,0.00%
"DaVita Faribault Dialysis Unit",242508,-,"201 S LYNDALE AVE, SUITE F",FARIBAULT,MN,55021,11,0.98%,81.22%,10,100.00%,0.00%,3.819,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.946,"No Rate",9,0.694,10,10,79,0.00%
"DaVita Farmington Dialysis",072545,-,"11 SOUTH RD, SUITE 110",FARMINGTON,CT,06032,1,3.17%,65.97%,8,99.28%,0.36%,0.682,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.466,0.645,0,1.552,10,9,56,0.00%
"DaVita Fashion Square Dialysis",232719,-,"5641 BAY RD",SAGINAW,MI,48604,11,5.31%,40.31%,5,96.73%,2.91%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.282,0.453,2,1.147,10,1,49,0.50%
"DaVita Fayette County Dialysis",392767,-,"201 MARY HIGGINSON LANE, SUITE A",Uniontown,PA,15401,4,6.30%,73.66%,9,99.01%,0.00%,0.713,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.115,1.592,0,1.362,10,8,55,0.50%
"DaVita Fayette Dialysis",012548,-,"2450 TEMPLE AVE N",FAYETTE,AL,35555,8,6.27%,61.20%,7,99.42%,2.53%,0.565,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.639,0.24,7,0.846,10,7,78,0.00%
"DaVita Fayetteville Dialysis",042539,-,"509 E MILLSAP STE 111",FAYETTEVILLE,AR,72703,13,21.45%,66.33%,3,98.30%,0.64%,0.593,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.955,0.481,7,0.843,10,8,67,0.00%
"DaVita Fayetteville Dialysis",112657,-,"1279 HWY 54 WEST #110",FAYETTEVILLE,GA,30214,6,8.81%,59.30%,5,98.44%,1.12%,0.165,10,71.99%,64.02%,87.46%,56.51%,59.30%,64.11%,1,1.263,1.002,5,0.988,10,4,54,0.50%
"DaVita Fayetteville Road Dialysis",342727,-,"285 PARACLETE DR",RAEFORD,NC,28376,6,8.83%,49.11%,4,97.34%,0.40%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.835,0,9,0.679,10,5,79,0.00%
"DaVita Federal Way Community Dialysis Center",502513,-,"1015 S 348TH ST","FEDERAL WAY",WA,98003,16,7.91%,70.64%,8,98.81%,0.00%,0.918,10,74.73%,66.67%,85.07%,70.33%,68.73%,71.13%,6,0.938,1.23,5,0.942,10,8,66,0.00%
"DaVita Fenton Dialysis",232635,-,"17420 SILVER PARKWAY",FENTON,MI,48430,11,1.85%,74.61%,10,98.34%,0.30%,1.703,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.086,1.333,6,0.905,10,7,59,0.00%
"DaVita Firestone Blvd Dialysis",552727,-,"11913 FIRESTONE BLVD.",NORWALK,CA,90650,18,17.65%,63.27%,4,97.64%,0.00%,0.236,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,0.995,1.42,3,1.116,10,6,55,0.50%
"DaVita First Colony Dialysis Center",672592,-,"1447 HWY 6 SUITE #140","SUGAR LAND",TX,77478,14,8.91%,67.14%,7,99.14%,0.28%,0.582,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,1.029,1.168,3,1.098,10,7,63,0.00%
"DaVita Five Rivers Dialysis",362803,-,"4750 N MAIN STREET",DAYTON,OH,45405,9,10.57%,68.43%,7,98.23%,0.89%,0.222,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.554,0.151,8,0.751,10,5,84,0.00%
"DaVita Five Seasons Dialysis",162558,-,"1002 4TH AVENUE SE, SUITE A","CEDAR RAPIDS",IA,52403,12,6.03%,77.01%,10,99.15%,0.12%,1.842,10,61.29%,49.14%,77.01%,60.82%,51.44%,54.66%,6,0.859,0.828,8,0.764,10,8,65,0.00%
"DaVita Five Star Dialysis Center",292538,-,"2400 TECH CENTER CT","LAS VEGAS",NV,89128,15,10.30%,61.32%,5,95.75%,1.46%,0.834,10,64.22%,74.10%,84.53%,62.16%,78.07%,83.93%,4,1.025,0.857,3,1.067,10,4,53,0.50%
"DaVita Flamingo Park Kindey Center",102664,-,"901 E 10TH AVE BAY 17",HIALEAH,FL,33010,7,9.17%,81.70%,9,98.73%,0.85%,0.897,10,70.58%,66.76%,77.94%,60.39%,69.05%,66.33%,0,1.344,1.55,0,1.524,10,4,43,1.00%
"DaVita Fleming Island Dialysis",682648,-,"4575 US HWY 17 - UNIT 301","FLEMING ISLAND",FL,32003,7,28.33%,41.27%,0,95.92%,1.02%,0.497,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.667,"No Rate",9,0.71,10,8,65,0.00%
"DaVita Fleur De Lis Dialysis",192523,-,"5555 BULLARD AVE, STE 110","NEW ORLEANS",LA,70128,13,9.23%,68.47%,7,99.08%,1.70%,1.355,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,1.018,1.925,3,1.114,10,7,51,0.50%
"DaVita Flint Dialysis Center",232608,-,"2 HURLEY PLAZA, SUITE 115",FLINT,MI,48503,11,11.59%,47.94%,3,97.30%,0.28%,0.563,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.607,0.669,6,0.902,10,1,67,0.00%
"DaVita Floral Park Home Dialysis (PD)",332750,-,"1 CISNEY AVE","FLORAL PARK",NY,11001,2,"No Rate","No Rate","No Score",99.22%,1.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",9,0.681,10,"No Score",85,0.00%
"DaVita Florence Dialysis",012529,-,"422 EAST DR. HICKS BLVD",FLORENCE,AL,35630,8,7.91%,76.39%,9,98.66%,0.00%,1.552,10,62.97%,66.94%,85.23%,54.88%,59.01%,65.03%,5,0.914,0.922,5,0.965,10,8,61,0.00%
"DaVita Floresville Dialysis",452733,-,"543 10TH STREET",FLORESVILLE,TX,78114,14,3.41%,59.47%,7,98.39%,0.13%,1.601,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.107,0.513,6,0.899,10,8,61,0.00%
"DaVita Florida Renal Center",102840,-,"5300 W FLAGLER STREET","CORAL GABLES",FL,33134,7,8.21%,74.02%,9,97.93%,0.26%,0.69,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.034,1.021,2,1.149,10,8,61,0.00%
"DaVita Florin Dialysis Center",052857,-,"7000 STOCKTON BLVD.",SACRAMENTO,CA,95823,17,12.15%,66.91%,6,96.59%,0.49%,0.405,10,68.97%,69.26%,80.55%,52.03%,64.49%,72.96%,4,1.044,0.768,7,0.85,10,1,59,0.00%
"DaVita Florissant Dialysis",262561,-,"10887 W FLORISSANT RD",Ferguson,MO,63136,12,8.16%,52.29%,5,97.70%,0.67%,1.392,10,59.72%,64.73%,79.66%,43.43%,57.98%,55.61%,5,0.981,0.826,3,1.088,10,0,45,1.00%
"DaVita Flossmore Home Dialysis",142775,-,"19720 S GOVERNORS HWY",FLOSSMOOR,IL,60422,10,"No Rate","No Rate","No Score",97.22%,0.96%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,1.034,1.463,5,0.962,10,"No Score",51,0.50%
"DaVita Flower Town Home Training",422665,-,"2143 NORTH MAIN STREET",SUMMERVILLE,SC,29486,6,"No Rate","No Rate","No Score",95.39%,1.53%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.866,0,8,0.772,10,"No Score",65,0.00%
"DaVita Floyd Curl Dialysis",672653,-,"9238 FLOYD CURL DRIVE, SUITE 102","SAN ANTONIO",TX,78240,14,5.08%,80.03%,10,99.10%,0.13%,0.28,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.862,0.472,4,1.052,10,5,75,0.00%
"DaVita Flushing Dialysis",232601,-,"3469 PIERSON PLACE, STE A",FLUSHING,MI,48433,11,7.30%,54.14%,5,98.64%,0.00%,0.597,10,72.60%,66.44%,85.96%,71.33%,62.93%,70.00%,5,0.976,1.366,0,1.259,10,5,53,0.50%
"DaVita Fond Du Lac Dialysis",522526,-,"DIALYSIS UNIT - 210 WISCONSIN AMERICAN DR","FOND DU LAC",WI,54937,11,9.63%,74.67%,8,98.86%,0.76%,1.813,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.964,0.277,5,0.931,10,8,65,0.00%
"DaVita Fontana Dialysis",052682,-,"17590 FOOTHILL BLVD.",Fontana,CA,92335,18,8.46%,68.21%,8,95.64%,0.87%,1.098,10,69.11%,65.49%,77.09%,59.87%,63.95%,64.59%,6,0.891,1.442,3,1.096,10,0,48,0.50%
"DAVITA - FORD CITY DIALYSIS",142854,-,"8159 S. CICERO AVE",CHICAGO,IL,60652,10,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"DaVita Foreman Drive Home Training",442758,-,"1843 FOREMAN DR STE 201",COOKEVILLE,TN,38501,8,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"DaVita Forest City Dialysis",142825,-,"198 NORTH SPRINGFIELD AVENUE",ROCKFORD,IL,61101,10,14.70%,50.88%,2,96.53%,0.00%,0.814,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.864,0.268,3,1.107,10,8,62,0.00%
"DaVita Forest Fair Dialysis",362734,-,"1145 KEMPER MEADOW DRIVE 45240",CINCINNATI,OH,45231,9,15.11%,51.89%,2,98.53%,0.92%,0.358,10,64.30%,60.10%,79.85%,58.46%,57.01%,58.19%,10,0.528,0,5,0.944,10,2,65,0.00%
"DaVita Forest Hill Avenue Dialysis",492663,-,"4900 FOREST HILL AVE",RICHMOND,VA,23225,5,9.64%,58.56%,5,99.20%,0.00%,2.391,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.923,0.672,4,1.009,10,10,61,0.00%
"DaVita Forest Hills Dialysis",342637,-,"1605 MEDICAL PARK DRIVE WEST",WILSON,NC,27893,6,7.42%,66.12%,7,97.36%,0.16%,0.81,10,74.07%,67.25%,78.69%,64.99%,66.86%,73.75%,4,1.017,1.44,6,0.871,10,7,59,0.00%
"DaVita Forest Landing Dialysis",212668,-,"2220 COMMERCE AVE   STE 1","FOREST HILL",MD,21050,5,19.34%,68.85%,4,98.60%,0.31%,0.344,10,76.37%,62.98%,81.16%,68.27%,63.42%,63.96%,9,0.659,1.688,5,0.929,10,3,60,0.00%
"DaVita Forest Park Dialysis Center",112692,-,"380 FOREST PARKWAY","FOREST PARK",GA,30297,6,8.67%,58.00%,5,96.61%,1.58%,2.02,10,66.08%,52.16%,78.92%,54.22%,38.36%,33.55%,0,1.277,0.263,5,0.958,10,0,39,1.00%
"DaVita Forestville Dialysis",212695,-,"3424 DONNELL DR","DISTRICT HEIGHTS",MD,20747,5,17.70%,59.24%,2,93.33%,0.86%,0.239,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.216,0.394,7,0.838,10,5,53,0.50%
"DaVita Forrest City Dialysis",042585,-,"1501 N WASHINGTON ST","FORREST CITY",AR,72335,13,13.03%,59.92%,5,96.94%,0.89%,0.583,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.181,0.593,0,1.276,10,1,47,0.50%
"DaVita Fort Atkinson Dialysis",522533,-,"525 HANDEYSIDE LANE","FORT ATKINSON",WI,53538,11,16.98%,68.09%,5,99.78%,0.00%,0.532,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.194,0.991,7,0.841,10,10,66,0.00%
